,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
24,South Florida,American,,9,4,8.57,2.11,10.67,55.06,7.21,10.27,4.99,6.85,2.25,8.29,3.69
25,James Madison,Sun Belt (East),19,12,2,4.65,5.95,10.60,49.60,4.67,8.95,4.85,6.69,1.38,7.57,3.17
26,Penn State,Big Ten,,7,6,6.18,3.94,10.12,51.99,0.63,9.41,4.48,6.23,2.49,7.47,3.48
27,North Texas,American,24,12,2,13.47,-3.42,10.05,59.46,13.56,10.68,4.62,6.54,3.68,8.45,4.31
28,Louisville,ACC,,9,4,5.38,3.86,9.23,49.04,3.47,8.74,4.30,7.02,2.18,7.79,3.19
29,Tennessee,SEC,,8,5,12.67,-3.59,9.08,58.20,10.05,10.34,5.25,6.29,2.65,8.14,3.89
30,Texas Christian,Big 12,25,9,4,7.06,1.99,9.04,49.11,6.50,10.08,5.52,5.59,1.98,7.83,3.72
31,Pitt,ACC,,8,5,7.62,1.36,8.98,52.57,5.87,9.51,4.77,5.22,1.12,7.34,3.06
32,Missouri,SEC,,8,5,1.62,7.33,8.96,48.49,-0.21,8.37,3.98,7.08,1.55,7.55,2.75
33,Iowa State,Big 12,,8,4,3.15,5.72,8.86,45.92,2.81,9.47,5.14,6.04,2.85,7.45,4.05
34,Georgia Tech,ACC,,9,4,7.24,1.23,8.47,49.58,6.48,10.46,5.74,7.13,3.20,8.55,4.38
35,North Carolina State,ACC,,8,5,6.70,1.43,8.13,50.41,6.50,9.74,5.39,6.49,2.50,8.01,4.13
36,Duke,ACC,,9,5,11.16,-3.46,7.70,53.06,12.17,9.89,6.64,5.82,2.84,7.83,4.69
37,Arizona State,Big 12,,8,5,3.19,4.51,7.69,43.30,3.23,8.52,4.46,6.69,2.03,7.50,3.36
38,Houston,Big 12,22,10,3,6.84,0.44,7.29,46.57,7.49,9.21,5.69,6.02,2.37,7.29,3.94
39,LSU,SEC,,7,6,-0.44,7.45,7.00,43.32,-0.71,8.70,4.18,5.27,2.01,7.04,3.08
40,East Carolina,American,,9,4,1.46,5.52,6.98,46.52,4.71,9.45,5.32,5.47,2.32,7.10,3.94
41,Old Dominion,Sun Belt (East),,10,3,0.96,5.91,6.87,44.26,4.52,9.64,4.84,6.85,2.24,7.85,3.49
42,Auburn,SEC,,5,7,0.31,6.53,6.84,45.76,0.86,8.44,5.36,6.53,1.06,7.31,3.15
43,Tulane,American,18,11,3,1.49,5.23,6.72,42.86,4.62,9.65,5.86,5.76,2.05,7.42,4.07
44,Clemson,ACC,,7,6,2.25,4.17,6.42,45.52,2.78,9.10,4.79,5.43,2.19,7.36,3.70
45,Florida State,ACC,,5,7,2.80,3.46,6.26,52.73,3.80,11.03,5.12,7.19,2.24,8.61,3.39
46,Navy,American,23,11,2,4.09,2.00,6.09,44.54,7.75,10.47,6.15,6.97,2.45,7.67,4.38
47,Wake Forest,ACC,,9,4,1.41,4.64,6.04,43.76,4.43,8.98,3.91,5.87,1.87,7.31,2.91
48,Northwestern,Big Ten,,7,6,0.20,4.93,5.13,42.56,1.67,8.42,5.17,6.12,2.68,7.09,3.96
49,Kansas State,Big 12,,6,6,7.23,-2.17,5.06,48.34,8.16,8.90,4.98,6.72,2.43,7.68,3.68
50,Memphis,American,,8,5,3.82,0.97,4.79,45.07,8.22,8.12,6.00,6.39,2.30,7.16,4.08
51,Washington State,Ind,,7,6,-1.74,6.51,4.78,39.01,2.77,8.53,4.60,5.13,2.33,6.67,3.42
52,South Carolina,SEC,,4,8,-0.62,4.54,3.92,43.64,1.97,10.12,5.09,5.21,2.01,7.35,3.42
53,Florida,SEC,,4,8,-1.70,5.49,3.79,43.45,0.48,8.84,5.44,6.33,2.14,7.47,3.58
54,Toledo,MAC,,8,5,-1.85,5.62,3.78,44.29,3.74,9.15,4.96,5.99,1.79,7.40,3.29
55,Boise State,MWC,,9,5,2.12,1.57,3.69,44.55,7.49,8.83,4.09,5.71,3.35,6.99,3.92
56,Cincinnati,Big 12,,7,6,3.00,0.66,3.65,48.61,7.31,10.04,5.49,7.24,2.61,8.54,3.91
57,San Diego State,MWC,,9,4,-2.79,6.26,3.48,40.31,3.70,8.83,4.10,5.70,2.78,6.76,3.39
58,UTSA,American,,7,6,5.90,-2.96,2.94,49.28,13.32,8.61,5.65,6.13,2.92,7.25,4.38
59,Kansas,Big 12,,5,7,4.81,-1.93,2.88,47.96,8.14,9.85,5.66,6.57,2.85,7.99,4.18
60,Minnesota,Big Ten,,8,5,-1.90,4.76,2.86,43.39,5.02,8.22,5.46,5.03,2.49,6.56,3.97
61,Rutgers,Big Ten,,5,7,5.92,-3.45,2.46,50.54,11.99,10.69,6.56,5.37,5.31,7.66,6.00
62,Baylor,Big 12,,5,7,8.19,-5.96,2.23,50.36,13.76,9.14,5.06,6.02,2.99,7.70,3.87
63,Wisconsin,Big Ten,,4,8,-6.46,8.69,2.23,37.67,-1.72,8.71,5.26,5.46,1.70,6.61,3.51
64,Nebraska,Big Ten,,7,6,1.04,1.18,2.22,48.48,5.32,9.81,4.67,5.65,3.06,7.46,3.76
65,Arkansas,SEC,,2,10,7.75,-5.57,2.18,53.47,11.89,10.42,6.39,7.67,2.90,8.92,4.38
66,Kentucky,SEC,,5,7,-0.65,2.71,2.06,43.39,5.53,8.52,5.91,5.83,1.79,6.97,3.66
67,Mississippi State,SEC,,5,8,4.89,-3.05,1.84,50.13,10.32,10.23,5.49,5.58,2.99,7.45,4.13
68,New Mexico,MWC,,9,4,0.91,-0.24,0.67,40.54,8.87,9.07,5.67,5.17,2.15,6.75,4.04
69,Western Michigan,MAC,,10,4,-4.50,4.96,0.46,37.24,5.35,7.64,5.17,5.55,2.76,6.22,3.98
70,Texas State,Sun Belt (West),,7,6,7.00,-6.80,0.20,47.49,17.63,9.96,6.33,6.28,3.11,7.69,4.60
71,Nevada-Las Vegas,MWC,,10,4,6.58,-6.70,-0.12,47.01,16.47,9.61,6.31,6.35,4.18,7.74,5.40
72,UCF,Big 12,,5,7,-3.60,3.48,-0.12,41.42,6.10,8.19,4.97,6.69,2.24,7.44,3.45
73,Hawaii,MWC,,9,4,1.43,-1.61,-0.17,41.87,11.88,8.41,6.05,4.43,3.15,6.63,4.69
74,Army,American,,7,6,-3.12,2.76,-0.36,35.95,5.40,9.27,5.00,5.50,3.06,5.92,4.14
75,Fresno State,MWC,,9,4,-3.64,2.82,-0.82,38.68,7.34,7.82,4.23,5.45,3.02,6.41,3.60
76,California,ACC,,7,6,1.29,-2.19,-0.90,42.22,11.34,8.71,4.86,4.28,3.55,6.72,4.16
77,Maryland,Big Ten,,4,8,-0.68,-0.23,-0.91,42.27,7.46,8.28,5.07,5.47,2.97,6.97,4.00
78,Michigan State,Big Ten,,4,8,3.65,-4.60,-0.95,45.81,9.83,9.35,5.64,5.33,2.89,7.18,4.32
79,UCLA,Big Ten,,3,9,-2.26,1.25,-1.01,41.73,8.83,8.42,4.51,6.21,3.30,7.12,3.90
80,Colorado,Big 12,,3,9,-1.67,0.52,-1.15,41.07,10.72,8.86,5.66,5.20,3.43,6.79,4.35
81,West Virginia,Big 12,,4,8,-1.99,0.69,-1.29,41.50,10.62,8.89,6.24,5.53,1.80,6.74,3.85
82,Kennesaw State,CUSA,,10,4,0.18,-1.52,-1.34,39.36,14.02,9.31,6.39,5.17,3.75,6.96,4.88
83,Ohio,MAC,,9,4,0.19,-1.90,-1.71,40.37,11.21,8.84,6.53,6.18,3.46,7.12,4.97
84,Connecticut,Ind,,9,4,3.63,-5.59,-1.96,44.86,15.42,8.86,6.00,5.95,3.96,7.47,4.97
85,Purdue,Big Ten,,2,10,-1.61,-0.96,-2.58,41.36,9.20,8.74,6.64,5.74,3.03,7.10,4.58
86,Utah State,MWC,,6,7,2.02,-4.78,-2.75,45.11,13.71,9.44,5.24,5.89,3.54,7.44,4.54
87,Virginia Tech,ACC,,3,9,-0.42,-2.36,-2.78,42.18,9.67,8.38,5.34,6.77,2.38,7.38,3.75
88,Stanford,ACC,,4,8,-3.00,0.16,-2.84,39.58,7.96,8.93,5.49,4.58,2.25,6.66,4.00
89,Western Kentucky,CUSA,,9,4,0.36,-3.25,-2.89,40.14,13.30,8.10,5.54,5.16,4.25,6.76,4.80
90,Louisiana Tech,CUSA,,8,5,-3.00,-0.11,-3.11,37.69,10.99,7.94,5.61,5.45,3.68,6.42,4.64
91,Troy,Sun Belt (West),,8,6,-3.70,-0.32,-4.02,35.42,11.67,7.83,6.06,4.05,3.27,5.81,4.48
92,Marshall,Sun Belt (East),,5,7,2.86,-6.91,-4.05,41.66,17.55,8.47,7.48,5.87,2.61,6.86,4.78
93,Southern Mississippi,Sun Belt (West),,7,6,-0.31,-4.33,-4.64,38.71,16.19,8.50,6.04,4.49,3.18,6.47,4.49
94,Jacksonville State,CUSA,,9,5,-0.82,-3.92,-4.74,37.16,15.12,7.74,6.54,5.93,3.23,6.61,4.71
95,Arkansas State,Sun Belt (West),,7,6,-2.22,-2.76,-4.98,35.35,15.11,7.50,6.79,4.38,3.32,6.05,4.88
96,Miami (OH),MAC,,7,7,-3.65,-1.40,-5.05,37.52,10.77,8.36,5.48,5.11,2.67,6.45,4.10
97,Missouri State,CUSA,,7,6,-2.22,-3.12,-5.34,37.04,16.66,9.40,6.13,4.39,3.80,6.94,4.88
98,Temple,American,,5,7,-0.80,-4.59,-5.39,42.35,14.94,8.18,6.04,5.71,3.71,6.73,4.82
99,Georgia Southern,Sun Belt (East),,7,6,1.44,-6.88,-5.44,39.88,19.68,8.59,6.51,5.60,4.44,7.02,5.38
100,North Carolina,ACC,,4,8,-6.28,0.70,-5.59,35.57,8.45,7.91,4.96,5.19,2.39,6.45,3.51
101,Boston College,ACC,,2,10,-1.65,-4.00,-5.64,43.21,13.54,9.34,6.18,4.86,3.69,7.15,4.79
102,Central Michigan,MAC,,7,6,-5.87,0.03,-5.84,34.83,12.40,9.74,5.65,5.13,3.27,6.54,4.45
103,Air Force,MWC,,4,8,1.61,-7.96,-6.35,43.08,17.39,12.01,7.89,5.71,3.99,6.94,6.03
104,Syracuse,ACC,,3,9,-5.10,-1.46,-6.56,38.84,13.40,8.23,5.39,5.13,3.74,6.51,4.53
105,Florida International,CUSA,,7,6,-3.32,-3.36,-6.68,37.94,17.32,7.39,6.04,5.52,3.76,6.40,4.83
106,Louisiana,Sun Belt (West),,6,7,-1.14,-5.80,-6.94,36.73,17.44,7.05,6.79,5.77,3.63,6.26,5.02
107,Coastal Carolina,Sun Belt (East),,6,7,-3.96,-3.06,-7.02,35.41,20.02,6.70,6.15,5.62,3.75,6.09,4.89
108,Liberty,CUSA,,4,8,-2.06,-5.27,-7.33,36.87,15.76,8.57,5.80,5.58,3.89,6.72,4.71
109,Florida Atlantic,American,,4,8,1.85,-9.24,-7.39,43.07,21.74,8.08,6.29,4.82,3.30,6.81,4.68
110,Delaware,CUSA,,7,6,0.36,-8.52,-8.16,38.84,20.56,8.04,6.82,4.45,3.54,6.49,5.10
111,Oklahoma State,Big 12,,1,11,-9.03,0.03,-9.00,33.18,13.10,7.82,7.00,5.28,2.41,6.43,4.40
112,South Alabama,Sun Belt (West),,4,8,-0.95,-8.18,-9.12,37.42,17.92,7.97,6.20,5.63,3.66,6.45,4.78
113,Appalachian State,Sun Belt (East),,5,8,-3.41,-5.79,-9.21,34.48,18.07,7.57,6.39,4.96,3.03,6.36,4.71
114,Tulsa,American,,4,8,-3.45,-5.77,-9.22,36.16,16.45,7.44,6.07,5.59,3.24,6.38,4.50
115,Rice,American,,5,8,-9.17,-0.82,-9.99,30.15,15.58,6.67,6.66,5.24,3.12,5.52,4.78
116,Buffalo,MAC,,5,7,-5.39,-4.69,-10.08,33.92,14.40,7.51,5.51,4.60,3.13,6.02,4.18
117,Wyoming,MWC,,4,8,-11.59,1.50,-10.09,28.59,7.27,6.89,4.57,4.87,3.40,5.79,4.08
118,Oregon State,Ind,,2,10,-5.68,-4.83,-10.51,35.12,14.64,8.26,6.41,5.20,3.43,6.70,4.80
119,UAB,American,,4,8,-0.66,-10.96,-11.62,38.83,21.87,8.57,8.19,5.32,3.15,6.93,5.16
120,Kent State,MAC,,5,7,-4.08,-7.83,-11.91,35.77,22.86,9.49,6.27,4.39,3.72,6.52,4.96
121,New Mexico State,CUSA,,4,8,-8.02,-4.39,-12.40,31.27,16.59,7.31,5.94,3.32,3.55,5.58,4.67
122,Bowling Green,MAC,,4,8,-8.22,-4.28,-12.50,31.40,13.47,7.46,6.29,4.86,3.03,5.85,4.56
123,Colorado State,MWC,,2,10,-6.47,-6.15,-12.63,34.52,15.97,8.40,6.47,4.75,3.88,6.45,5.09
124,Akron,MAC,,5,7,-8.31,-4.36,-12.67,33.17,19.21,7.60,6.80,4.75,3.67,6.13,5.19
125,San Jose State,MWC,,3,9,-3.53,-9.50,-13.03,36.80,20.36,8.55,6.93,5.81,3.10,7.28,4.94
126,Eastern Michigan,MAC,,4,8,-2.86,-10.23,-13.08,36.53,20.41,8.08,6.72,5.47,4.49,6.77,5.54
127,Nevada,MWC,,3,9,-10.66,-2.88,-13.55,31.66,14.41,7.54,6.21,5.37,3.02,6.22,4.50
128,Georgia State,Sun Belt (East),,1,11,-6.53,-7.24,-13.77,33.06,21.90,7.64,7.08,5.38,3.44,6.61,4.98
129,Northern Illinois,MAC,,3,9,-11.39,-2.86,-14.25,29.36,13.56,6.11,5.48,5.48,3.69,5.69,4.51
130,Louisiana-Monroe,Sun Belt (West),,3,9,-10.92,-3.45,-14.36,28.97,19.33,7.57,6.57,5.64,3.26,6.45,4.74
131,UTEP,CUSA,,2,10,-5.17,-9.46,-14.63,33.44,20.17,7.28,5.95,4.45,3.27,5.91,4.40
132,Ball State,MAC,,4,8,-10.50,-5.31,-15.80,28.91,18.40,7.18,6.67,4.57,3.57,5.52,5.00
133,Middle Tennessee State,CUSA,,3,9,-5.62,-10.66,-16.28,32.42,21.53,7.11,7.41,4.78,3.18,6.23,5.09
134,Charlotte,American,,1,11,-10.28,-8.16,-18.45,29.92,20.20,8.04,6.59,4.14,3.59,5.98,5.14
135,Sam Houston,CUSA,,2,10,-10.62,-9.31,-19.94,29.20,25.48,6.79,8.05,5.18,4.59,5.94,5.99
136,Massachusetts,MAC,,0,12,-14.94,-11.61,-26.55,25.03,27.98,6.25,7.74,3.91,3.98,5.09,5.54
